COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_ELEMENTO;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES;;;;
108;Contenedor de ropa;;;;Calle de Ayerbe, 22 ;;Mercadillo en la vía pública de la calle Ayerbe ;MADRID;Calle;de;Ayerbe;número;22;;;;Barajas;451050,39;4480271,45;40.470984;-3.57741;;;;;;
109;Contenedor de ropa;;;;Avenida de Logroño, 132 ;;;MADRID;Avenida;de;Logroño;número;132;;;;Barajas;450698,80;4480461,14;40.472672;-3.581572;;;;;;
110;Contenedor de ropa;;;;Calle  Alhaurín, 5 ;;Punto Limpio Fijo;MADRID;Calle;;Alhaurín;número;5;;;;Barajas;450379,28;4480534,46;40.4741;-3.5853;;;;;;
111;Contenedor de ropa;;;;Calle del Gran Poder, 35 esq. Icaro;esq. Icaro;Instalacion Deportiva Basica;MADRID;Calle;del;Gran Poder;número;35;;;;Barajas;450312,33;4480439,61;40.472455;-3.586129;;;;;;
112;Contenedor de ropa;;;;Calle  Playa del Sardinero, 1 ;;Mercadona;MADRID;Calle;;Playa del Sardinero;número;1;;;;Barajas;449941,13;4480296,49;40.47184;-3.5905;;;;;;
113;Contenedor de ropa;;;;Calle  Bahia de Malaga, 18 ;;"Instalacion Deportiva Básica ""Los Coronales""";MADRID;Calle;;Bahia de Malaga;número;18;;;;Barajas;449550,55;4479836,20;40.46767;-3.5951;;;;;;
114;Contenedor de ropa;;;;Calle  Bahia de Pollensa, 1 ;;Centro Cultural Bahia Center;MADRID;Calle;;Bahia de Pollensa;número;1;;;;Barajas;449724,17;4479541,95;40.46503;-3.5933;;;;;;
115;Contenedor de ropa;;;;Calle  Bahia de Cadiz, 20 ;;Centro Cultural Gloria Fuertes;MADRID;Calle;;Bahia de Cadiz;número;20;;;;Barajas;449664,19;4479068,48;40.46076;-3.5937;Lunes a Viernes  9:00 a 14:00 y de 17:00 a 19:00;;;;;
116;Contenedor de ropa;;;;Calle  Ricardo Ortiz, 10 ;;;MADRID;Calle;;Ricardo Ortiz;número;10;;;;Ciudad Lineal;444159,08;4475719,58;40.429545;-3.658295;;;;;;
117;Contenedor de ropa;;;;Calle  Ricardo Ortiz, 60 ;;;MADRID;Calle;;Ricardo Ortiz;número;60;;;;Ciudad Lineal;444180,80;4475197,95;40.424847;-3.657993;;;;;;
118;Contenedor de ropa;;;;Avenida  Marques de Corbera, 18 ;;;MADRID;Avenida;;Marques de Corbera;número;18;;;;Ciudad Lineal;444452,94;4475039,96;40.423442;-3.654771;;;;;;
119;Contenedor de ropa;;;;Calle  Maria Teresa Saenz de Heredia, 18 ;;C.C La Elipa;MADRID;Calle;;Maria Teresa Saenz de Heredia;número;18;;;;Ciudad Lineal;444735,41;4475247,43;40.42533;-3.65146;;;;;;
120;Contenedor de ropa;;;;Calle  Pablo Lafargue, 12 ;;;MADRID;Calle;;Pablo Lafargue;número;12;;;;Ciudad Lineal;444527,19;4474871,60;40.421931;-3.653882;;;;;;
121;Contenedor de ropa;;;;Calle   Santa Genoveva, 32 ;;Colegio Publico Gustavo Adolfo Becquer;MADRID;Calle;; Santa Genoveva;número;32;;;;Ciudad Lineal;444943,12;4475056,02;40.42362;-3.648995;;;;;;
122;Contenedor de ropa;;;;Calle  Poeta Blas de Otero, 81 ;;Centro Sociocultural Ciudad Lineal;MADRID;Calle;;Poeta Blas de Otero;número;81;;;;Ciudad Lineal;444733,44;4474984,87;40.422965;-3.65146;Lunes a Viernes  9:00 a 14:00 y de 16:00 a 18:00;;;;;
123;Contenedor de ropa;;;;Calle  Santa Felicidad, 30 ;;Centro Cultural La Elipa;MADRID;Calle;;Santa Felicidad;número;30;;;;Ciudad Lineal;444812,75;4475163,16;40.424576;-3.650541;;;;;;
124;Contenedor de ropa;;;;Avenida  Marques de Corbera, 61 ;;;MADRID;Avenida;;Marques de Corbera;número;61;;;;Ciudad Lineal;444843,90;4475435,48;40.427031;-3.650197;;;;;;
125;Contenedor de ropa;;;;Calle  Ezequiel Solana, 54 ;;Iglesia Asamblea Dios Belen;MADRID;Calle;;Ezequiel Solana;número;54;;;;Ciudad Lineal;445317,32;4475804,66;40.430388;-3.644649;;;;;;
126;Contenedor de ropa;;;;Calle  Elfo, 59 ;;;MADRID;Calle;;Elfo;número;59;;;;Ciudad Lineal;444730,89;4476220,44;40.434095;-3.651598;;;;;;
127;Contenedor de ropa;;;;Calle  Virgen del Sagrario, 3 ;;;MADRID;Calle;;Virgen del Sagrario;número;3;;;;Ciudad Lineal;445071,47;4476197,98;40.433915;-3.647581;;;;;;
128;Contenedor de ropa;;;;Calle  Hermanos Gomez, 3 ;;;MADRID;Calle;;Hermanos Gomez;número;3;;;;Ciudad Lineal;444846,11;4476035,30;40.432435;-3.650223;;;;;;
129;Contenedor de ropa;;;;Calle de los Collados, 2 ;;;MADRID;Calle;de los;Collados;número;2;;;;Ciudad Lineal;444876,59;4475879,93;40.431037;-3.649851;;;;;;
130;Contenedor de ropa;;;;Calle de los Urquiza, 6 ;;;MADRID;Calle;de los;Urquiza;número;6;;;;Ciudad Lineal;445202,55;4476159,37;40.433576;-3.646032;;;;;;
131;Contenedor de ropa;;;;Calle  Alcala, 3 esq. Calle Alfonso Paso;esq. Calle Alfonso Paso;;MADRID;Calle;;Alcala;número;3;;;;Ciudad Lineal;445791,65;4476584,79;40.437447;-3.639124;;;;;;
132;Contenedor de ropa;;;;Camino  Libre de Enseñanza, 16 ;;Centro Cultural Principe de Asturias;MADRID;Camino;;Libre de Enseñanza;número;16;;;;Ciudad Lineal;445967,27;4476458,41;40.43632;-3.637043;;;;;;
133;Contenedor de ropa;;;;Calle  Vital Aza, 81 ;;Parroquia San Jenaro;MADRID;Calle;;Vital Aza;número;81;;;;Ciudad Lineal;445910,02;4476177,45;40.433785;-3.637693;;;;;;
134;Contenedor de ropa;;;;Calle  Vital Aza, 68 ;;;MADRID;Calle;;Vital Aza;número;68;;;;Ciudad Lineal;445786,89;4476121,47;40.433273;-3.639141;;;;;;
135;Contenedor de ropa;;;;Calle  Vital Aza, 47 ;;;MADRID;Calle;;Vital Aza;número;47;;;;Ciudad Lineal;445619,03;4476018,12;40.432331;-3.64111;;;;;;
136;Contenedor de ropa;;;;Calle  Esteban Collantes, 13 ;;;MADRID;Calle;;Esteban Collantes;número;13;;;;Ciudad Lineal;445531,04;4475862,39;40.430922;-3.642135;;;;;;
137;Contenedor de ropa;;;;Calle  Ascao, 63 ;;;MADRID;Calle;;Ascao;número;63;;;;Ciudad Lineal;445963,17;4475961,20;40.431841;-3.637049;;;;;;
138;Contenedor de ropa;;;;Calle  Ascao, 24 esq. Calle Luis Ruiz;esq. Calle Luis Ruiz;;MADRID;Calle;;Ascao;número;24;;;;Ciudad Lineal;445804,65;4475919,31;40.431453;-3.638914;;;;;;
139;Contenedor de ropa;;;;Calle  Ascao, 4 ;;Centro de Mayores Ascao;MADRID;Calle;;Ascao;número;4;;;;Ciudad Lineal;445601,82;4475753,98;40.42995;-3.64129;Lunes a Domingo 9:00 a 21:00;;;;;
140;Contenedor de ropa;;;;Calle  Gutierre de Cetina, 82 ;;;MADRID;Calle;;Gutierre de Cetina;número;82;;;;Ciudad Lineal;445733,70;4475528,74;40.42793;-3.639716;;;;;;
141;Contenedor de ropa;;;;Calle  Ezequiel Solana, 104 ;;;MADRID;Calle;;Ezequiel Solana;número;104;;;;Ciudad Lineal;445531,67;4475430,07;40.427028;-3.64209;;;;;;
142;Contenedor de ropa;;;;Calle  Ezequiel Solana, 120 esq. Calle Santurce;esq. Calle Santurce;;MADRID;Calle;;Ezequiel Solana;número;120;;;;Ciudad Lineal;445593,00;4475299,64;40.425857;-3.641356;;;;;;
143;Contenedor de ropa;;;;Calle  Fernando Gabriel, 21 ;;;MADRID;Calle;;Fernando Gabriel;número;21;;;;Ciudad Lineal;445938,67;4475211,76;40.425088;-3.637274;;;;;;
144;Contenedor de ropa;;;;Calle  Luis Ruiz, 84 ;;;MADRID;Calle;;Luis Ruiz;número;84;;;;Ciudad Lineal;446190,84;4475227,68;40.425247;-3.634303;;;;;;
145;Contenedor de ropa;;;;Calle  Gandhi, 16 ;;Mercadillo en la vía pública de la calle Gandhi ;MADRID;Calle;;Gandhi;número;16;;;;Ciudad Lineal;445931,93;4475171,97;40.424729;-3.63735;;;;;;
146;Contenedor de ropa;;;;Calle  Barlovento, 9 ;;;MADRID;Calle;;Barlovento;número;9;;;;Ciudad Lineal;446438,32;4475277,90;40.425716;-3.63139;;;;;;
147;Contenedor de ropa;;;;Camino  Libre de enseñanza, 160 ;;Centro de Mayores Luis Vives (servicios sociales);MADRID;Camino;;Libre de enseñanza;número;160;;;;Ciudad Lineal;446695,95;4475089,22;40.424033;-3.628337;Lunes a Viernes 9:00 a 14:00 y de 15:00 a 19:00;;;;;
148;Contenedor de ropa;;;;Calle  Idioma Esperanto, 3 ;;;MADRID;Calle;;Idioma Esperanto;número;3;;;;Ciudad Lineal;446877,63;4474595,69;40.419598;-3.626154;;;;;;
149;Contenedor de ropa;;;;Calle  Jose Maria Rodero, 18 ;;;MADRID;Calle;;Jose Maria Rodero;número;18;;;;Ciudad Lineal;446674,88;4474717,87;40.420686;-3.628555;;;;;;
150;Contenedor de ropa;;;;Calle  Villaescusa, 30 ;;IES Barrio de Bilbao;MADRID;Calle;;Villaescusa;número;30;;;;Ciudad Lineal;446403,06;4474826,40;40.421647;-3.631768;;;;;;
151;Contenedor de ropa;;;;Calle  Apostol Santiago, 60 ;;Colegio Nuestra Señora de las Victorias;MADRID;Calle;;Apostol Santiago;número;60;;;;Ciudad Lineal;444468,10;4475600,05;40.428489;-3.654641;;;;;;
152;Contenedor de ropa;;;;Calle  Jose del hierro, 20 ;;Centro Deportivo Municipal La Concepcion;MADRID;Calle;;Jose del hierro;número;20;;;;Ciudad Lineal;445137,57;4476648,68;40.437979;-3.646841;;;;;;
153;Contenedor de ropa;;;;Calle  Jose del hierro, 54 ;;;MADRID;Calle;;Jose del hierro;número;54;;;;Ciudad Lineal;445451,30;4476932,58;40.440557;-3.643166;;;;;;
154;Contenedor de ropa;;;;Calle  Estrecho de Corea, 1 ;;Centro de Salud Estrecho de Corea;MADRID;Calle;;Estrecho de Corea;número;1;;;;Ciudad Lineal;445057,61;4476908,44;40.440314;-3.647805;;;;;;
155;Contenedor de ropa;;;;Calle  Carlota O'neill, 32 ;;Parroquia San Ireneo;MADRID;Calle;;Carlota O'neill;número;32;;;;Ciudad Lineal;444956,23;4477300,32;40.443838;-3.649035;;;;;;
156;Contenedor de ropa;;;;Calle de Arturo Soria, 56 ;;;MADRID;Calle;de;Arturo Soria;número;56;;;;Ciudad Lineal;445587,73;4477202,14;40.442995;-3.641581;;;;;;
157;Contenedor de ropa;;;;Calle de Matias Turrion, 2 ;;;MADRID;Calle;de;Matias Turrion;número;2;;;;Ciudad Lineal;444154,45;4478969,81;40.458824;-3.658635;;;;;;
158;Contenedor de ropa;;;;Calle  Arturo Soria, 261 esq. Calle Bueso de Pineda;esq. Calle Bueso de Pineda;Colegio Publico Joaquin Turina;MADRID;Calle;;Arturo Soria;número;261;;;;Ciudad Lineal;443612,25;4479506,39;40.46362;-3.665077;;;;;;
159;Contenedor de ropa;;;;Calle  Manuel Uribe, 1 ;;Colegio Publico San Benito;MADRID;Calle;;Manuel Uribe;número;1;;;;Ciudad Lineal;443660,87;4479591,28;40.464388;-3.664512;;;;;;
160;Contenedor de ropa;;;;Calle  Mesena, 104 ;;;MADRID;Calle;;Mesena;número;104;;;;Ciudad Lineal;443757,40;4480010,26;40.468169;-3.663409;;;;;;
161;Contenedor de ropa;;;;Calle  Caleruega, 75 ;;;MADRID;Calle;;Caleruega;número;75;;;;Ciudad Lineal;443270,95;4481623,90;40.48337;-3.66933;;;;;;
162;Contenedor de ropa;;;;Calle  Caleruega, 30 ;;;MADRID;Calle;;Caleruega;número;30;;;;Ciudad Lineal;443090,60;4481368,86;40.480362;-3.671396;;;;;;
163;Contenedor de ropa;;;;Calle  Caleruega, 21 ;;;MADRID;Calle;;Caleruega;número;21;;;;Ciudad Lineal;443151,24;4481178,06;40.478648;-3.670664;;;;;;
164;Contenedor de ropa;;;;Calle  Eladio Lopez Vilches, 2 ;;;MADRID;Calle;;Eladio Lopez Vilches;número;2;;;;Ciudad Lineal;443551,99;4480556,13;40.47377;-3.66592;;;;;;
165;Contenedor de ropa;;;;Calle  Lopez de Hoyos, 342 ;;;MADRID;Calle;;Lopez de Hoyos;número;342;;;;Ciudad Lineal;443976,33;4478784,66;40.457144;-3.660719;;;;;;
166;Contenedor de ropa;;;;Calle  Arturo Baldasano, 26 ;;;MADRID;Calle;;Arturo Baldasano;número;26;;;;Ciudad Lineal;444201,07;4478773,08;40.457054;-3.658068;;;;;;
167;Contenedor de ropa;;;;Calle  Rafael Bergamin, 16 ;;;MADRID;Calle;;Rafael Bergamin;número;16;;;;Ciudad Lineal;443968,61;4478070,89;40.450713;-3.660747;;;;;;
168;Contenedor de ropa;;;;Calle  Torrelaguna, 127 ;;;MADRID;Calle;;Torrelaguna;número;127;;;;Ciudad Lineal;444236,29;4477885,92;40.449065;-3.657575;;;;;;
169;Contenedor de ropa;;;;Calle  Cidamon, 11 ;;;MADRID;Calle;;Cidamon;número;11;;;;Ciudad Lineal;444311,49;4478125,48;40.451228;-3.65671;;;;;;
170;Contenedor de ropa;;;;Calle  Arturo Soria, 98  esq. Pilar Cavero 1; esq. Pilar Cavero 1;;MADRID;Calle;;Arturo Soria;número;98;;;;Ciudad Lineal;445129,16;4477494,89;40.445602;-3.647013;;;;;;
171;Contenedor de ropa;;;;Calle  Torrecilla del puerto, 4 ;;;MADRID;Calle;;Torrecilla del puerto;número;4;;;;Ciudad Lineal;444836,73;4478002,02;40.450151;-3.650505;;;;;;
172;Contenedor de ropa;;;;Calle  Virgen del Sagrario, 19 ;;;MADRID;Calle;;Virgen del Sagrario;número;19;;;;Ciudad Lineal;444817,27;4476616,69;40.43767;-3.650614;;;;;;
173;Contenedor de ropa;;;;Calle  Virgen del Portillo, 8 ;;;MADRID;Calle;;Virgen del Portillo;número;8;;;;Ciudad Lineal;444658,48;4476520,17;40.43679;-3.652478;;;;;;
174;Contenedor de ropa;;;;Calle  Virgen del Val, 10 ;;;MADRID;Calle;;Virgen del Val;número;10;;;;Ciudad Lineal;444485,16;4476496,09;40.436561;-3.654519;;;;;;
175;Contenedor de ropa;;;;Calle  Virgen de Lourdes, 30 ;;;MADRID;Calle;;Virgen de Lourdes;número;30;;;;Ciudad Lineal;444283,98;4476429,89;40.435952;-3.656885;;;;;;
176;Contenedor de ropa;;;;Calle  Virgen de la Alegria, 12 ;;Parroquia Virgen del Coro;MADRID;Calle;;Virgen de la Alegria;número;12;;;;Ciudad Lineal;444231,93;4476131,77;40.433263;-3.657472;;;;;;
177;Contenedor de ropa;;;;Calle  Virgen de Africa, 38  esq. Electronica; esq. Electronica;;MADRID;Calle;;Virgen de Africa;número;38;;;;Ciudad Lineal;444434,14;4476936,20;40.440523;-3.655159;;;;;;
178;Contenedor de ropa;;;;Avenida  Badajoz, 24 ;;Parroquia del Espiritu Santo;MADRID;Avenida;;Badajoz;número;24;;;;Ciudad Lineal;444440,58;4477049,85;40.441547;-3.655093;;;;;;
179;Contenedor de ropa;;;;Calle  Torrelaguna, 69 ;;;MADRID;Calle;;Torrelaguna;número;69;;;;Ciudad Lineal;444618,69;4477118,49;40.442177;-3.652999;;;;;;
180;Contenedor de ropa;;;;Avenida  Daroca, 108 ;;punto limpio fijo - En Gasolinera BP;MADRID;Avenida;;Daroca;número;108;;;;Ciudad Lineal;446431,46;4474503,45;40.418739;-3.631406;;;;;;
181;Contenedor de ropa;;;;Calle  Francisco Rioja, 14 ;;Centro Deportivo Municipal Pueblo Nuevo;MADRID;Calle;;Francisco Rioja;número;14;;;;Ciudad Lineal;445857,01;4475661,51;40.42983;-3.63831;;;;;;
182;Contenedor de ropa;;;;Calle  San Maximiliano, 26 ;;Polideportivo Las Cocheras;MADRID;Calle;;San Maximiliano;número;26;;;;Ciudad Lineal;444513,77;4475180,87;40.424716;-3.654067;;;;;;
183;Contenedor de ropa;;;;Calle  Nuestra Señora de Villar, 6 ;;;MADRID;Calle;;Nuestra Señora de Villar;número;6;;;;Ciudad Lineal;445140,10;4477269,60;40.42286;-3.6516;;;;;;
184;Contenedor de ropa;;;;Calle  Mota del Cuervo, 21 ;;;MADRID;Calle;;Mota del Cuervo;número;21;;;;Hortaleza;446534,68;4479602,28;40.46538;-3.63066;;;;;;
185;Contenedor de ropa;;;;Calle el Provencio, 20 ;;;MADRID;Calle;el;Provencio;número;20;;;;Hortaleza;446716,92;4479594,32;40.46532;-3.62851;Lunes a Domingo 8:30 a 21:15;;;;;
186;Contenedor de ropa;;;;Calle  Tribaldos, 2 ;;;MADRID;Calle;;Tribaldos;número;2;;;;Hortaleza;446344,16;4479821,22;40.46734;-3.63292;;;;;;
187;Contenedor de ropa;;;;Calle  Chaparral, 3 ;;;MADRID;Calle;;Chaparral;número;3;;;;Hortaleza;446110,80;4480198,11;40.47072;-3.63571;;;;;;
188;Contenedor de ropa;;;;Avenida  Chiquinquira , 2 ;;C. Comercial Colombia;MADRID;Avenida;;Chiquinquira ;número;2;;;;Hortaleza;446044,06;4480418,33;40.471997;-3.636474;;;;;;
189;Contenedor de ropa;;;;Calle  Manizales, 30 ;;;MADRID;Calle;;Manizales;número;30;;;;Hortaleza;446061,02;4480605,76;40.47438;-3.63632;;;;;;
190;Contenedor de ropa;;;;Avenida  Avd, Barranquilla , 11 ;; (Plaza dia);MADRID;Avenida;;Avd, Barranquilla ;número;11;;;;Hortaleza;445736,17;4480714,73;40.474647;-3.640131;;;;;;
191;Contenedor de ropa;;;;Calle  Santa Virgilia, 15 ;;(Centro Cultural de Hortaleza);MADRID;Calle;;Santa Virgilia;número;15;;;;Hortaleza;445578,65;4480958,21;40.47683;-3.64201;Lunes a Jueves 9:00 a 14:00 y de 17:00 a 19:00. Viernes, Julio y Agosto 9:00 a 14:00.;;;;;
192;Contenedor de ropa;;;;Calle  Santa Susana, 39 ;;;MADRID;Calle;;Santa Susana;número;39;;;;Hortaleza;445139,65;4481101,62;40.47809;-3.64721;;;;;;
193;Contenedor de ropa;;;;Calle  Santa Susana, 6 ;;;MADRID;Calle;;Santa Susana;número;6;;;;Hortaleza;445183,88;4480878,94;40.47609;-3.64666;;;;;;
194;Contenedor de ropa;;;;Calle  Mar Menor, 13 ;;;MADRID;Calle;;Mar Menor;número;13;;;;Hortaleza;445441,84;4480680,57;40.47432;-3.6436;;;;;;
195;Contenedor de ropa;;;;Calle  Mar de Antillas, 10 ;;Centro Mayores Huerta de la Salud I;MADRID;Calle;;Mar de Antillas;número;10;;;;Hortaleza;445256,77;4480796,26;40.47535;-3.645793;Lunes a Viernes 9:00 a 14:00 y de 16:00 a 20:30. Sábados, Domingos y festivos 10:00 a 14:00 y de 16:00 a 20:30;;;;;
196;Contenedor de ropa;;;;Calle  Estrecho de ormuz, 13 ;;;MADRID;Calle;;Estrecho de ormuz;número;13;;;;Hortaleza;445473,02;4480306,24;40.47095;-3.6432;;;;;;
197;Contenedor de ropa;;;;Avenida  Gran Via de Hortaleza, 84 ;;;MADRID;Avenida;;Gran Via de Hortaleza;número;84;;;;Hortaleza;445287,93;4479961,67;40.46853;-3.64539;;;;;;
198;Contenedor de ropa;;;;Calle  Javier de quinto, 12 ;;(C.Servicios sociales Concepción Arenal);MADRID;Calle;;Javier de quinto;número;12;;;;Hortaleza;445584,85;4479829,20;40.46666;-3.64184;Lunes a Viernes 9:00 a 14:00 y de 15:00 a 19:00;;;;;
199;Contenedor de ropa;;;;Calle  Emigrantes, 13 ;;;MADRID;Calle;;Emigrantes;número;13;;;;Hortaleza;445914,64;4479942,25;40.4677;-3.63796;;;;;;
200;Contenedor de ropa;;;;Carretera de Canillas, 121 ;;;MADRID;Carretera;de;Canillas;número;121;;;;Hortaleza;445945,90;4479693,37;40.46546;-3.63757;;;;;;
201;Contenedor de ropa;;;;Calle  Torquemada, 10 ;;;MADRID;Calle;;Torquemada;número;10;;;;Hortaleza;445787,76;4479748,91;40.46595;-3.63944;;;;;;
202;Contenedor de ropa;;;;Carretera de Canillas, 45 ;;;MADRID;Carretera;de;Canillas;número;45;;;;Hortaleza;445180,57;4479501,34;40.46368;-3.64658;;;;;;
203;Contenedor de ropa;;;;Calle  Pegaso, 2  esq. Ctra Canillas; esq. Ctra Canillas;;MADRID;Calle;;Pegaso;número;2;;;;Hortaleza;444966,76;4479423,76;40.462967;-3.649095;;;;;;
204;Contenedor de ropa;;;;Calle  Puerto de Santa María, 14 ;;(instalación deportivo);MADRID;Calle;;Puerto de Santa María;número;14;;;;Hortaleza;444807,70;4478527,53;40.454883;-3.650893;;;;;;
205;Contenedor de ropa;;;;Calle  Moscatelas, 10 ;;(Farmacia);MADRID;Calle;;Moscatelas;número;10;;;;Hortaleza;444939,54;4478778,22;40.45715;-3.64936;;;;;;
206;Contenedor de ropa;;;;Calle  Carril del Conde, 61 ;;(Instalación deportiva basica);MADRID;Calle;;Carril del Conde;número;61;;;;Hortaleza;444558,46;4479114,44;40.46085;-3.65392;;;;;;
207;Contenedor de ropa;;;;Calle  Andorra, 41 ;;;MADRID;Calle;;Andorra;número;41;;;;Hortaleza;445242,00;4479089,04;40.45997;-3.64582;;;;;;
208;Contenedor de ropa;;;;Calle  Calanda, 28 ;;;MADRID;Calle;;Calanda;número;28;;;;Hortaleza;445526,93;4479325,63;40.46212;-3.64248;;;;;;
209;Contenedor de ropa;;;;Calle  Alcorisa, 21 ;;Mercadillo en la vía pública de la calle Alcorisa - camino Silvano ;MADRID;Calle;;Alcorisa;número;21;;;;Hortaleza;445666,34;4479374,58;40.46257;-3.64084;;;;;;
210;Contenedor de ropa;;;;Calle  Silvano, 77 ;;;MADRID;Calle;;Silvano;número;77;;;;Hortaleza;446001,64;4479427,65;40.46307;-3.63689;;;;;;
211;Contenedor de ropa;;;;Calle  Silvano, 150 ;;;MADRID;Calle;;Silvano;número;150;;;;Hortaleza;446665,90;4479358,51;40.46249;-3.62905;;;;;;
212;Contenedor de ropa;;;;Calle  Tomás Redondo , 8 ;;Punto Limpio fijo;MADRID;Calle;;Tomás Redondo ;número;8;;;;Hortaleza;446771,69;4480212,97;40.470194;-3.627874;;;;;;
213;Contenedor de ropa;;;;Avenida  Niceto Alcala Zamora, 48 ;;Colegio Publico Cortes de Cadiz;MADRID;Avenida;;Niceto Alcala Zamora;número;48;;;;Hortaleza;444449,82;4483326,86;40.49879;-3.65557;;;;;;
214;Contenedor de ropa;;;;Estación  Santa Adela, 36 ;;;MADRID;Estación;;Santa Adela;número;36;;;;Hortaleza;445121,55;4481223,20;40.479187;-3.647425;;;;;;
215;Contenedor de ropa;;;;Estación  Ctra Hortaleza , 11 ;;"Centro Deportivo Municipal ""Hortaleza""/Mercadillo en la vía pública UVA Hortaleza";MADRID;Estación;;Ctra Hortaleza ;número;11;;;;Hortaleza;444638,26;4481196,56;40.478915;-3.653124;Lunes a Viernes 8:30 a 22:00. Sábados y Domingos 9:00 a 20:00;;;;;
216;Contenedor de ropa;;;;Avenida  Virgen del Carmén, 9 ;;;MADRID;Avenida;;Virgen del Carmén;número;9;;;;Hortaleza;444514,01;4480628,56;40.47379;-3.65454;;;;;;
217;Contenedor de ropa;;;;Calle  Luis Buitrago, 15 ;;(instalación deportiva basica);MADRID;Calle;;Luis Buitrago;número;15;;;;Hortaleza;444792,11;4480633,16;40.47385;-3.65126;;;;;;
218;Contenedor de ropa;;;;Avenida  Virgen del Carmén, 34 ;;;MADRID;Avenida;;Virgen del Carmén;número;34;;;;Hortaleza;444792,11;4480633,16;40.47517;-3.65079;;;;;;
219;Contenedor de ropa;;;;Calle  López de hoyos, 478 ;;;MADRID;Calle;;López de hoyos;número;478;;;;Hortaleza;444917,30;4480364,70;40.47144;-3.64976;;;;;;
220;Contenedor de ropa;;;;Calle  López de hoyos, 353 ;;;MADRID;Calle;;López de hoyos;número;353;;;;Hortaleza;444720,05;4480174,11;40.46971;-3.65207;;;;;;
221;Contenedor de ropa;;;;Calle  López de hoyos, 442 ;;;MADRID;Calle;;López de hoyos;número;442;;;;Hortaleza;444556,28;4479926,66;40.46747;-3.65398;;;;;;
222;Contenedor de ropa;;;;Calle  Ángel Luis de la herran, 31 ;;;MADRID;Calle;;Ángel Luis de la herran;número;31;;;;Hortaleza;444892,39;4480206,14;40.47001;-3.65004;;;;;;
223;Contenedor de ropa;;;;Calle  Ángel Luis de la herran, 40 ;;(Colegio Pablo Picasso);MADRID;Calle;;Ángel Luis de la herran;número;40;;;;Hortaleza;445096,64;4480230,95;40.470247;-3.647633;;;;;;
224;Contenedor de ropa;;;;Calle  Carrión de los condes, 73 ;;Centro Juvenil Santiago Apostol;MADRID;Calle;;Carrión de los condes;número;73;;;;Hortaleza;444220,89;4480799,80;40.47601;-3.65805;todo el día;;;;;
225;Contenedor de ropa;;;;Calle  Cuevas de Almanzora, 171 ;;(Iglesia Jesus de Nazarezt);MADRID;Calle;;Cuevas de Almanzora;número;171;;;;Hortaleza;444142,42;4480850,33;40.47646;-3.65898;;;;;;
226;Contenedor de ropa;;;;Calle  Monovar, 9 ;;(Centro salud);MADRID;Calle;;Monovar;número;9;;;;Hortaleza;444325,60;4480943,00;40.47661;-3.65679;;;;;;
227;Contenedor de ropa;;;;Calle  Jazmín, 12 ;;;MADRID;Calle;;Jazmín;número;12;;;;Hortaleza;443411,90;4480963,18;40.47673;-3.66757;;;;;;
228;Contenedor de ropa;;;;Calle  Velez Blanco, 32 ;;;MADRID;Calle;;Velez Blanco;número;32;;;;Hortaleza;443878,93;4481066,23;40.47769;-3.66207;;;;;;
229;Contenedor de ropa;;;;Calle  Velez Rubio, 1 ;;(Centro civico el Querol);MADRID;Calle;;Velez Rubio;número;1;;;;Hortaleza;443778,94;4480959,30;40.47672;-3.66324;Lunes a Viernes 9:00 a 14:00 y de 15:00 a 19:00;;;;;
230;Contenedor de ropa;;;;Calle  Golfo de salonica , 1 ;;(SuperSol);MADRID;Calle;;Golfo de salonica ;número;1;;;;Hortaleza;443576,09;4480780,11;40.475092;-3.665617;;;;;;
231;Contenedor de ropa;;;;Calle  Arturo Soria, 330 ;;;MADRID;Calle;;Arturo Soria;número;330;;;;Hortaleza;443507,29;4481358,77;40.4803;-3.66648;;;;;;
232;Contenedor de ropa;;;;Avenida de Manoteras, 50 ;;(Iglesia);MADRID;Avenida;de;Manoteras;número;50;;;;Hortaleza;443893,09;4482050,79;40.48656;-3.66199;;;;;;
233;Contenedor de ropa;;;;Plaza  Alcalde Moreno Torres, 6 ;;;MADRID;Plaza;;Alcalde Moreno Torres;número;6;;;;Hortaleza;444293,17;4482279,81;40.48865;-3.65729;;;;;;
234;Contenedor de ropa;;;;Avenida  Pi y Margall, 81 ;;;MADRID;Avenida;;Pi y Margall;número;81;;;;Hortaleza;443792,75;4482683,19;40.49225;-3.66323;;;;;;
235;Contenedor de ropa;;;;Calle  Principe Carlos, 19 ;;;MADRID;Calle;;Principe Carlos;número;19;;;;Hortaleza;444398,67;4482788,56;40.49324;-3.65609;;;;;;
236;Contenedor de ropa;;;;Calle  Ana de Austria, 32 ;;(Colegio Publico Ana de Austria);MADRID;Calle;;Ana de Austria;número;32;;;;Hortaleza;444449,53;4483019,08;40.49532;-3.65551;;;;;;
