COD_TIPO_DATO;TIPO_DATO;IDENTIFICADOR_MINT;COD_ELEMENTO;COD_NDP;DIRECCION_COMPLETA;DIRECCION AUXILIAR;CENTRO;COD_VIAL;CLASE_VIAL;PARTICULAS_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;HORARIO;OBSERVACIONES;;;;
21;Contenedor de ropa;;;;Calle  Valmojado, 55;;"Centro Cultural ""Fernando de los Rios II""";MADRID;Calle;;Valmojado;número;55;;;10;Latina;435857,25;4472098,46;40.397017;-3.7558356;Lunes a Jueves 9:00 a 14:00 y de 16:00 a 19:00. Viernes  9.00 a 15:00;;;;;
22;Contenedor de ropa;;;;Calle  Serradilla c/v Mirabel, 13;;"Centro Cultural ""Miguel HernÃ¡ndez""";MADRID;Calle;;Serradilla c/v Mirabel;número;13;;;10;Latina;433623,76;4470094,45;40.378789;-3.781949;Lunes a Viernes 9:00 a 14:00 y de 17:00  a 19:00;;;;;
23;Contenedor de ropa;;;;Carretera  Boadilla del Monte, 40;;"Centro Cultural ""Sara Montiel""";MADRID;Carretera;;Boadilla del Monte;número;40;;;10;Latina;434255,63;4472408,00;40.399685;-3.7747433;Lunes a Viernes 9:00 a 14:00 y 16:30 a 19:00;;;;;
24;Contenedor de ropa;;;;Calle  Pericles, 6;;"Centro de Mayores ""Cerro Bermejo""";MADRID;Calle;;Pericles;número;6;;;10;Latina;438069,79;4473451,72;40.409373;-3.7299039;Lunes a Viernes 9:00 a 21:00;;;;;
25;Contenedor de ropa;;;;Calle  Rafael Finat, 47;;"Centro de Mayores ""Ciudad De Mejico""";MADRID;Calle;;Rafael Finat;número;47;;;10;Latina;434729,95;4470178,17;40.379633;-3.7689296;Lunes a Viernes 9:00 a 21:00. Sábado 10:00 a 14:00. Domingo y festivo 16:00 a 21:00;;;;;
26;Contenedor de ropa;;;;Avenida  Águilas, 14;;"Centro Deportivo Municipal ""Aluche""";MADRID;Avenida;;Águilas;número;14;;;10;Latina;434462,26;4470563,10;40.383081;-3.7721144;Lunes a Domingo y festivos 8:30 a 20:30;;;;;
27;Contenedor de ropa;;;;Calle  Olivillo, 4;;"Centro Deportivo Municipal ""El Olivillo""";MADRID;Calle;;Olivillo;número;4;;;10;Latina;436710,21;4473150,42;40.406559;-3.7458896;Lunes a Domingo 8:15 a 22:00;;;;;
28;Contenedor de ropa;;;;Calle  Gallur, 2;;"Centro Deportivo Municipal ""Gallur""";MADRID;Calle;;Gallur;número;2;;;10;Latina;437551,90;4472267,55;40.398668;-3.7358923;Lunes a Viernes y festivos 8:30 a 21:00. sábados y domingos 8:30 a 14:30;;;;;
29;Contenedor de ropa;;;;Calle  Fuente del Tiro, 72;;"Centro Sociocultural ""Almirante Churruca""";MADRID;Calle;;Fuente del Tiro;número;72;;;10;Latina;433786,29;4470559,06;40.382991;-3.7800773;Lunes a Viernes 9:00 a 14:00 y de 16:30 a 19:00;;;;;
30;Contenedor de ropa;;;;Calle  Rodrigo de Arana, 50;;"Centro Sociocultural ""Latina""";MADRID;Calle;;Rodrigo de Arana;número;50;;;10;Latina;435012,40;4470153,72;40.37943;-3.7655935;Lunes a Viernes  9:30 a 14:30 y 16:30 a 18:30;;;;;
31;Contenedor de ropa;;;;Avenida  Nuestra Señora de Valvanera, 120;;Colegio Republica del Uruguay;MADRID;Avenida;;Nuestra Señora de Valvanera;número;120;;;10;Latina;437073,13;4471717,23;40.393678;-3.7414702;Todo el dia;;;;;
32;Contenedor de ropa;;;;Avenida  Caprichos, 1;;"Instalación Deportiva  Municipal Básica ""Los Caprichos""";MADRID;Avenida;;Caprichos;número;1;;;10;Latina;438184,15;4473063,58;40.405886;-3.728511;Lunes a Viernes y festivos 8:30 a 21:00. sábados y domingos  8:30 a 14:30;;;;;
33;Contenedor de ropa;;;;Calle  Fuerte de Navidad, 11;;"Instalación Deportiva Básica ""Fuerte De Navidad""";MADRID;Calle;;Fuerte de Navidad;número;11;;;10;Latina;435030,82;4470334,62;40.381062;-3.7653999;Todo el dia;;;;;
34;Contenedor de ropa;;;;Avenida  Águilas, 114;;"Instalación Deportiva Básica ""Jardines General Fanjul""";MADRID;Avenida;;Águilas;número;114;;;10;Latina;433733,13;4470350,68;40.381104;-3.7806799;Todo el dia;;;;;
35;Contenedor de ropa;;;;Avenida  Poblados, 62;;Mercadillo en la vía pública de Rafael Finat ;MADRID;Avenida;;Poblados;número;62;;;10;Latina;435389,33;4470756,87;40.38491;-3.76121;Sábados 9:00 a 14:00;;;;;
36;Contenedor de ropa;;;;Calle  Concejal Francisco José Jiménez Martín, 5;;Punto Limpio Fijo;MADRID;Calle;;Concejal Francisco José Jiménez Martín;número;5;;;10;Latina;437567,78;4472487,95;40.400651;-3.7357254;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;;;;
37;Contenedor de ropa;;;;Calle  Francos Rodríguez, 100;;"Centro Cultural ""Juan Gris""";MADRID;Calle;;Francos Rodríguez;número;100;;;9;Moncloa-Aravaca;439623,52;4478884,82;40.45843;-3.7121064;Todo el dia;;;;;
38;Contenedor de ropa;;;;Calle  Antonio Machado, 20;;"Centro Cultural ""Julio Cortazar""";MADRID;Calle;;Antonio Machado;número;20;;;9;Moncloa-Aravaca;439000,94;4479804,42;40.466672;-3.7195421;"Lunes a Viernes 9:00 a 21:00; Sábado y Domingo 10:00 a 14:00 y 15:00 a 21:00";;;;;
39;Contenedor de ropa;;;;Paseo  Rey, 34;;Centro de Acogida Municipal para personas sin hogar San Isidro;MADRID;Paseo;;Rey;número;34;;;9;Moncloa-Aravaca;438705,07;4475198,91;40.42516643;-3.72257642;Lunes a Domingo 8:00 a 22:00;;;;;
40;Contenedor de ropa;;;;Calle  Arroyo de Pozuelo, 99;;"Centro Deportivo Municipal ""Alfredo Goyeneche""";MADRID;Calle;;Arroyo de Pozuelo;número;99;;;9;Moncloa-Aravaca;433600,29;4478212,57;40.451917;-3.7830673;Todo el dia;;;;;
41;Contenedor de ropa;;;;Calle  Antonio Machado, 12;;"Centro Deportivo Municipal ""Ciudad De Los Poetas""";MADRID;Calle;;Antonio Machado;número;12;;;9;Moncloa-Aravaca;439038,01;4479728,99;40.46599;-3.7190866;Lunes a Jueves 8:00 a 20:30. Viernes 8:00 a 15:30;;;;;
42;Contenedor de ropa;;;;Avenida  Santo Angel de la Guarda, 6;;"Centro Deportivo Municipal ""Fernando Martín""";MADRID;Avenida;;Santo Angel de la Guarda;número;6;;;9;Moncloa-Aravaca;439640,46;4479162,00;40.460935;-3.7119323;"Lunes a Viernes 9:00 a 22:00; Sabados y Domingos 8:00 a 21:00";;;;;
43;Contenedor de ropa;;;;Calle  Santa Pola, 22;;"Centro Deportivo Municipal ""José María Cagigal""";MADRID;Calle;;Santa Pola;número;22;;;9;Moncloa-Aravaca;437501,20;4475987,37;40.432176;-3.736847;Todo el dia;;;;;
44;Contenedor de ropa;;;;Calle  San Restituto, 24;;Mercadillo en la vía pública de San Restituto ;MADRID;Calle;;San Restituto;número;24;;;9;Moncloa-Aravaca;439636,3;4479624,27;40.46507;-3.71202;Jueves 9:00 a 14:00;;;;;
45;Contenedor de ropa;;;;Paseo  Senda Del Rey, 20;;Punto Limpio Fijo;MADRID;Paseo;;Senda Del Rey;número;20;;;9;Moncloa-Aravaca;437241,29;4478163,57;40.451758;-3.740127;Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.;;;;;
46;Contenedor de ropa;;;;Calle  Francos Rodríguez, 67;;"Biblioteca Municipal ""Manuel Vázquez Montalbán""";MADRID;Calle;;Francos Rodríguez;número;67;;;06;Tetuán;439740,68;4478745,13;40.457186;-3.7107133;Todo el dia;;;;;
47;Contenedor de ropa;;;;Calle  Hierbabuena, 2;;"Centro Deportivo Municipal ""Playa Victoria""";MADRID;Calle;;Hierbabuena;número;2;;;06;Tetuán;440490,29;4478949,57;40.459078;-3.7018875;Lunes a Viernes 8:30 a 21:00. Sabados y Domingos 9:00 a 14:00;;;;;
48;Contenedor de ropa;;;;Calle  Bravo Murillo, 376;;"Centro Deportivo Municipal ""Triángulo De Oro""";MADRID;Calle;;Bravo Murillo;número;376;;;06;Tetuán;441283,29;4479593,57;40.464936;-3.6925947;Todo el dia;;;;;
49;Contenedor de ropa;;;;Calle  Matilde Landa, 30;;"Centro Social Comunitario ""Josefa Amar""";MADRID;Calle;;Matilde Landa;número;30;;;06;Tetuán;441170,22;4480508,09;40.47317;-3.6940124;Lunes a Viernes 9:30 a 20:30. Sábado 10:00 a 20:00;;;;;
50;Contenedor de ropa;;;;Avenida  Asturias, 2;;Mercadillo en la vía pública de avenida de Asturias;MADRID;Avenida;;Asturias;número;2;;;06;Tetuán;441487,73;4479809,38;40.46688;-3.6902;Domingos y festivos 9:00 a 14:00;;;;;
51;Contenedor de ropa;;;;Plaza  Donoso, 5;;Biblioteca Pública Municipal María Zambrano;MADRID;Plaza;;Donoso;número;5;;;06;Tetuán;440889,30;4480082,83;40.469321;-3.697284;De lunes a viernes de 8:30 a 21 horas. Verano: del 15 de junio al 15 de septiembre de lunes a viernes de 8:30 a 20:15 horas. Festivos cerrados.;;;;;
52;Contenedor de ropa;;;;Calle  Corazón de María, 53 ;;;MADRID;Calle;;Corazón de María;número;53;;;;Chamartin;443515,84;4477575,98;40.44692;-3.66608;;;;;;
53;Contenedor de ropa;;;;Calle  López de Hoyos, 200 ;;;MADRID;Calle;;López de Hoyos;número;200;;;;Chamartin;443393,52;4477774,42;40.4487;-3.66754;;;;;;
54;Contenedor de ropa;;;;Calle  Clara del Rey, 71 ;;;MADRID;Calle;;Clara del Rey;número;71;;;;Chamartin;443336,26;4477602,88;40.44715;-3.6682;;;;;;
55;Contenedor de ropa;;;;Calle  Clara del Rey, 32 ;;;MADRID;Calle;;Clara del Rey;número;32;;;;Chamartin;443049,97;4476974,41;40.44147;-3.67152;;;;;;
56;Contenedor de ropa;;;;Calle  Clara del Rey, 14 ;;;MADRID;Calle;;Clara del Rey;número;14;;;;Chamartin;443322,35;4477213,35;40.44364;-3.66833;;;;;;
57;Contenedor de ropa;;;;Calle  Cartagena, 120 ;;;MADRID;Calle;;Cartagena;número;120;;;;Chamartin;442825,38;4476882,99;40.44063;-3.67416;;;;;;
58;Contenedor de ropa;;;;Calle de Jose Pla , 68 esq. Calle de López de Hoyos;esq. Calle de López de Hoyos;;MADRID;Calle;de;Jose Pla ;número;68;;;;Chamartin;442536,09;4477336,50;40.444;-3.677573;;;;;;
59;Contenedor de ropa;;;;Plaza  Getafe, 1 ;;;MADRID;Plaza;;Getafe;número;1;;;;Chamartin;443000,50;4477282,30;40.44424;-3.67213;;;;;;
60;Contenedor de ropa;;;;Calle  López de Hoyos, 166 ;;Iglesia;MADRID;Calle;;López de Hoyos;número;166;;;;Chamartin;443169,36;4477505,24;40.44626;-3.67016;;;;;;
61;Contenedor de ropa;;;;Calle  Vinaroz, 1 ;;;MADRID;Calle;;Vinaroz;número;1;;;;Chamartin;442772,67;4477316,28;40.44453;-3.67482;;;;;;
62;Contenedor de ropa;;;;Calle  Sánchez Pacheco, 35 ;;;MADRID;Calle;;Sánchez Pacheco;número;35;;;;Chamartin;442790,21;4477613,66;40.44721;-3.67464;;;;;;
63;Contenedor de ropa;;;;Calle  Pradillo, 4 ;;Jardines Prospero Sonara;MADRID;Calle;;Pradillo;número;4;;;;Chamartin;442676,56;4477814,87;40.448319;-3.67596;;;;;;
