Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
2267;;MARQUESINA MOD XXI 5-M STD;USERA;SAN MARIO;CALLE;0;ESQ. Cº DE PERALES;Cº PERALES;SAN MARIO, CALLE Nº0 ESQ. Cº DE PERALES Cº PERALES;441457,4;4470177,8;SI;78/;441347,97;4469970,31;-3.690941;40.378255
2447;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;BESOLLA;CALLE;0;FTE Nº 11;AV ABRANTES;BESOLLA, CALLE Nº0 FTE Nº 11 AV ABRANTES;437742,6;4469955;SI;47/108/118/N16/;437633,18;4469747,54;-3.7346774;40.3759785
2462;;MARQUESINA MOD XXI 5-M STD;CARABANCHEL;POBLADOS (DE LOS);AV;0;ESQ C/ EUGENIA DE MONTIJO;CTRA EXTREMADUR;POBLADOS (DE LOS), AVD Nº0 ESQ C/ EUGENIA DE MONTIJO CTRA EXTREMADUR;436534,8;4470004;SI;47/121/131/;436425,39;4469796,55;-3.7489088;40.3763287
2478;;MARQUESINA MOD XXI 5-M STD;CIUDAD LINEAL;DONOSTIARRA;AV;23;ESQ PZA JOSE BANUS;M-30;DONOSTIARRA, AV Nº23 ESQ PZA JOSE BANUS M-30;444417,3;4476410,9;SI;21/48/;444307,88;4476203,38;-3.6566199;40.4346092
2468;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;CLARA CAMPOAMOR;CALLE;0;FTE Nº 31;C/ CARCASTILLO;CLARA CAMPOAMOR, CALLE Nº0 FTE Nº 31 C/ CARCASTILLO;437859,6;4470797,2;SI;247/;437750,19;4470589,74;-3.7333814;40.3835741
2443;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;ABRANTES;AV;0;FTE. Nº149;AV POBLADOS;ABRANTES, AV Nº0 FTE. Nº149 AV POBLADOS;437931,9;4470127,4;SI;47/108/484/;437822,48;4469919,94;-3.7324644;40.3775457
2436;;MARQUESINA MOD XXI 4-M STD;CARABANCHEL;ABRANTES;AV;14;ESQ PZA SETUBAL;AV POBLADOS;ABRANTES, AV Nº14 ESQ PZA SETUBAL AV POBLADOS;438699,2;4470856,9;SI;47/247/  ;438589,79;4470649,43;-3.7234963;40.3841742
4662;;MARQUESINA MOD XXI 5-M STD;VILLAVERDE;ANDALUCIA;AV;0;ANTES C/ BOHEMIOS;AV  ANDALUCIA;ANDALUCIA, AV Nº0  ANTES C/ BOHEMIOS AV  ANDALUCIA;441227,7;4468010,6;SI;22/59/79/85/              ;441118,24;4467803,11;-3.693447;40.3587154
1236;;MARQUESINA MOD XXI 4-M STD;CIUDAD LINEAL;DONOSTIARRA;AV;12;FTE Nº 11;PZA JOSE BANUS;DONOSTIARRA, AV Nº12 FTE Nº 11 PZA JOSE BANUS;444268,5;4476436,3;SI;21/48/;444159,08;4476228,79;-3.6583764;40.4348281
3211;;MARQUESINA MOD XXI 5-M STD;LATINA;POBLADOS (DE LOS);AV;0;ESQ C/ GUAREÑA;CTRA TOLEDO;POBLADOS (DE LOS), AVD Nº0 ESQ C/ GUAREÑA CTRA TOLEDO;435124,2;4471394,2;SI;131/;435014,82;4471186,77;-3.7656657;40.3887436
