CODIGO CONTENEDOR;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;COORD UTM ETRS89 X;COORD UTM ETRS89 Y;FECHA PUESTA EN SERVICIO;Longitud;Latitud;Nombre
020054CV;5;CHAMARTIN;CALLE;CORAZON DE MARIA;4;443052.53;4476884.28;28/01/2017;-3,6714808;40,440658;CALLE CORAZON DE MARIA, 4
020166CV;6;TETUAN;CALLE;BRAVO MURILLO;120;440335.52;4477791.26;02/01/2017;-3,7036006;40,448638;CALLE BRAVO MURILLO, 120
020165CV;6;TETUAN;CALLE;ALMANSA;68;439829.82;4477874.71;19/12/2016;-3,7095716;40,4493533;CALLE ALMANSA, 68
020168CV;6;TETUAN;CALLE;BRAVO MURILLO;231;440515.34;4478783.16;02/01/2017;-3,7015732;40,4575863;CALLE BRAVO MURILLO, 231
020169CV;6;TETUAN;CALLE;MARQUES DE VIANA;12;440689.86;4479190.06;28/01/2017;-3,699553;40,4612643;CALLE MARQUES DE VIANA, 12
020179CV;6;TETUAN;PLAZA;ANGEL CARBAJO;8;441155.29;4479282.68;26/12/2016;-3,6940723;40,4621318;PLAZA ANGEL CARBAJO, 8
020182CV;6;TETUAN;CALLE;SOR ANGELA DE LA CRUZ;27;440997.74;4479015.11;23/01/2017;-3,6959056;40,4597102;CALLE SOR ANGELA DE LA CRUZ, 27
020171CV;6;TETUAN;CALLE;POETA JOAN MARAGALL;7;441272.59;4478378.32;28/01/2017;-3,6926052;40,4539932;CALLE POETA JOAN MARAGALL, 7
020172CV;6;TETUAN;CALLE;ESTEBANEZ CALDERON;2;441377.77;4479447.38;28/01/2017;-3,6914636;40,4636312;CALLE ESTEBANEZ CALDERON, 2
020175CV;6;TETUAN;CALLE;MARTIRES DE LA VENTILLA;1;441611.80;4480144.05;28/01/2017;-3,6887674;40,4699236;CALLE MARTIRES DE LA VENTILLA, 1
020181CV;6;TETUAN;CALLE;SOR ANGELA DE LA CRUZ;3;441337.87;4478936.75;28/01/2017;-3,691887;40,4590284;CALLE SOR ANGELA DE LA CRUZ, 3
020178CV;6;TETUAN;CALLE;SOR ANGELA DE LA CRUZ;13;441100.98;4478965.58;28/01/2017;-3,6946834;40,4592714;CALLE SOR ANGELA DE LA CRUZ, 13
020170CV;6;TETUAN;CALLE;SOR ANGELA DE LA CRUZ;43;440804.19;4479096.41;23/01/2017;-3,6981959;40,4604288;CALLE SOR ANGELA DE LA CRUZ, 43
020176CV;6;TETUAN;CALLE;FRANCOS RODRIGUEZ;90;439708.86;4478816.15;28/01/2017;-3,7110874;40,4578254;CALLE FRANCOS RODRIGUEZ, 90
020174CV;6;TETUAN;CALLE;SAN GERMAN;42;440855.60;4478678.58;28/01/2017;-3,6975506;40,4566685;CALLE SAN GERMAN, 42
020163CV;6;TETUAN;AVENIDA;GENERAL PERON;42;441291.63;4478164.06;28/01/2017;-3,6923608;40,4520644;AVENIDA GENERAL PERON, 42
020164CV;6;TETUAN;AVENIDA;GENERAL PERON;34;441146.94;4478176.25;28/01/2017;-3,6940682;40,452164;AVENIDA GENERAL PERON, 34
020177CV;6;TETUAN;CALLE;ORENSE;14;441055.46;4477882.01;28/01/2017;-3,6951197;40,4495069;CALLE ORENSE, 14
020093CV;7;CHAMBERI;PASEO;CASTELLANA;23;441502.93;4475637.42;23/01/2017;-3,6896365;40,4293182;PASEO CASTELLANA, 23
020078CV;7;CHAMBERI;CALLE;FERNANDO EL CATOLICO;88;439095.62;4476221.14;28/11/2016;-3,7180707;40,4344038;CALLE FERNANDO EL CATOLICO, 88
020096CV;7;CHAMBERI;CALLE;ANDRES MELLADO;116;439456.73;4477015.99;19/12/2016;-3,7138892;40,4415905;CALLE ANDRES MELLADO, 116
020095CV;7;CHAMBERI;PASEO;SAN FRANCISCO DE SALES;23;439413.09;4477012.02;19/12/2016;-3,7144034;40,4415516;PASEO SAN FRANCISCO DE SALES, 23
020090CV;7;CHAMBERI;CALLE;SANTA ENGRACIA;144;440409.74;4477316.62;05/12/2016;-3,7026809;40,4443675;CALLE SANTA ENGRACIA, 144
020087CV;7;CHAMBERI;CALLE;BRAVO MURILLO;44;440297.70;4477059.06;19/12/2016;-3,7039778;40,4420393;CALLE BRAVO MURILLO, 44
020081CV;7;CHAMBERI;CALLE;CEA BERMUDEZ;40;439699.15;4476727.96;19/12/2016;-3,7110036;40,4390134;CALLE CEA BERMUDEZ, 40
020080CV;7;CHAMBERI;CALLE;BRAVO MURILLO;68;440303.48;4477306.25;19/12/2016;-3,7039329;40,4442665;CALLE BRAVO MURILLO, 68
020076CV;7;CHAMBERI;AVENIDA;REINA VICTORIA;35;439768.66;4477585.63;19/12/2016;-3,7102654;40,4467447;AVENIDA REINA VICTORIA, 35
020098CV;7;CHAMBERI;CALLE;RODRIGUEZ SAN PEDRO;3;440001.99;4475899.86;19/12/2016;-3,7073549;40,4315754;CALLE RODRIGUEZ SAN PEDRO, 3
020094CV;7;CHAMBERI;GLORIETA;PINTOR SOROLLA;4;440749.51;4476288.90;26/12/2016;-3,6985788;40,4351337;GLORIETA PINTOR SOROLLA, 4
020091CV;7;CHAMBERI;CALLE;RAFAEL CALVO;1;440794.75;4476117.73;05/12/2016;-3,6980295;40,4335949;CALLE RAFAEL CALVO, 1
020089CV;7;CHAMBERI;CALLE;SANTA ENGRACIA;117;440601.09;4476648.17;21/11/2016;-3,7003622;40,4383596;CALLE SANTA ENGRACIA, 117
020079CV;7;CHAMBERI;CALLE;BRAVO MURILLO;32;440280.80;4476509.52;16/01/2017;-3,7041254;40,4370876;CALLE BRAVO MURILLO, 32
020097CV;7;CHAMBERI;PASEO;SAN FRANCISCO DE SALES;4;439230.25;4476819.75;19/09/2016;-3,7165408;40,4398062;PASEO SAN FRANCISCO DE SALES, 4
020084CV;7;CHAMBERI;GLORIETA;BILBAO;2;440424.86;4475644.26;19/12/2016;-3,7023458;40,4293033;GLORIETA BILBAO, 2
020139CV;7;CHAMBERI;CALLE;FERNANDO EL CATOLICO;75;439205.72;4476221.65;26/12/2016;-3,7167728;40,4344164;CALLE FERNANDO EL CATOLICO, 75
