"route_id","i","j","distance","traffic_time","base_time","route_lat","route_long","start_street_side","start_street_name","stop_street_side","stop_street_name","step_id"
"1",9,8,4670,1088,991,40.4297626,-3.7074566,"right","Calle de la Princesa","left","Calle del Cenicero",50
"1",9,8,4670,1088,991,40.4296231,-3.7061155,"right","Calle de la Princesa","left","Calle del Cenicero",51
"1",9,8,4670,1088,991,40.4295373,-3.7054932,"right","Calle de la Princesa","left","Calle del Cenicero",52
"1",9,8,4670,1088,991,40.4295051,-3.7052464,"right","Calle de la Princesa","left","Calle del Cenicero",53
"1",9,8,4670,1088,991,40.4294193,-3.7047529,"right","Calle de la Princesa","left","Calle del Cenicero",54
"1",9,8,4670,1088,991,40.4293549,-3.7043452,"right","Calle de la Princesa","left","Calle del Cenicero",55
"1",9,8,4670,1088,991,40.4292905,-3.7040234,"right","Calle de la Princesa","left","Calle del Cenicero",56
"1",9,8,4670,1088,991,40.4292262,-3.7036586,"right","Calle de la Princesa","left","Calle del Cenicero",57
"1",9,8,4670,1088,991,40.4291618,-3.7032723,"right","Calle de la Princesa","left","Calle del Cenicero",58
"1",9,8,4670,1088,991,40.4290867,-3.7028217,"right","Calle de la Princesa","left","Calle del Cenicero",59
"1",9,8,4670,1088,991,40.429076,-3.7027252,"right","Calle de la Princesa","left","Calle del Cenicero",60
"1",9,8,4670,1088,991,40.4289901,-3.7023711,"right","Calle de la Princesa","left","Calle del Cenicero",61
"1",9,8,4670,1088,991,40.4289472,-3.702178,"right","Calle de la Princesa","left","Calle del Cenicero",62
"1",9,8,4670,1088,991,40.428915,-3.7019205,"right","Calle de la Princesa","left","Calle del Cenicero",63
"1",9,8,4670,1088,991,40.4288507,-3.7016094,"right","Calle de la Princesa","left","Calle del Cenicero",64
"1",9,8,4670,1088,991,40.4288721,-3.7015021,"right","Calle de la Princesa","left","Calle del Cenicero",65
"1",9,8,4670,1088,991,40.4288399,-3.7013626,"right","Calle de la Princesa","left","Calle del Cenicero",66
"1",9,8,4670,1088,991,40.4287863,-3.7011051,"right","Calle de la Princesa","left","Calle del Cenicero",67
"1",9,8,4670,1088,991,40.4287434,-3.7008369,"right","Calle de la Princesa","left","Calle del Cenicero",68
"1",9,8,4670,1088,991,40.4286575,-3.7004936,"right","Calle de la Princesa","left","Calle del Cenicero",69
"1",9,8,4670,1088,991,40.4285717,-3.7000859,"right","Calle de la Princesa","left","Calle del Cenicero",70
"1",9,8,4670,1088,991,40.4284859,-3.6997104,"right","Calle de la Princesa","left","Calle del Cenicero",71
"1",9,8,4670,1088,991,40.4284644,-3.6995709,"right","Calle de la Princesa","left","Calle del Cenicero",72
"1",9,8,4670,1088,991,40.4284215,-3.6993885,"right","Calle de la Princesa","left","Calle del Cenicero",73
"1",9,8,4670,1088,991,40.4283786,-3.6991954,"right","Calle de la Princesa","left","Calle del Cenicero",74
"1",9,8,4670,1088,991,40.428282,-3.6986911,"right","Calle de la Princesa","left","Calle del Cenicero",75
"1",9,8,4670,1088,991,40.4282176,-3.6984015,"right","Calle de la Princesa","left","Calle del Cenicero",76
"1",9,8,4670,1088,991,40.4281425,-3.6980045,"right","Calle de la Princesa","left","Calle del Cenicero",77
"1",9,8,4670,1088,991,40.4280996,-3.6978006,"right","Calle de la Princesa","left","Calle del Cenicero",78
"1",9,8,4670,1088,991,40.4280353,-3.6974895,"right","Calle de la Princesa","left","Calle del Cenicero",79
"1",9,8,4670,1088,991,40.4279602,-3.6971569,"right","Calle de la Princesa","left","Calle del Cenicero",80
"1",9,8,4670,1088,991,40.42781,-3.6964488,"right","Calle de la Princesa","left","Calle del Cenicero",81
"1",9,8,4670,1088,991,40.4277456,-3.6963737,"right","Calle de la Princesa","left","Calle del Cenicero",82
"1",9,8,4670,1088,991,40.4276705,-3.6960089,"right","Calle de la Princesa","left","Calle del Cenicero",83
"1",9,8,4670,1088,991,40.4276383,-3.6958802,"right","Calle de la Princesa","left","Calle del Cenicero",84
"1",9,8,4670,1088,991,40.4275846,-3.6957192,"right","Calle de la Princesa","left","Calle del Cenicero",85
"1",9,8,4670,1088,991,40.427413,-3.6953223,"right","Calle de la Princesa","left","Calle del Cenicero",86
"1",9,8,4670,1088,991,40.4273701,-3.6951613,"right","Calle de la Princesa","left","Calle del Cenicero",87
"1",9,8,4670,1088,991,40.4272735,-3.6949682,"right","Calle de la Princesa","left","Calle del Cenicero",88
"1",9,8,4670,1088,991,40.4271555,-3.6947751,"right","Calle de la Princesa","left","Calle del Cenicero",89
"1",9,8,4670,1088,991,40.4269624,-3.694346,"right","Calle de la Princesa","left","Calle del Cenicero",90
"1",9,8,4670,1088,991,40.4267478,-3.6939275,"right","Calle de la Princesa","left","Calle del Cenicero",91
"1",9,8,4670,1088,991,40.4267049,-3.6938524,"right","Calle de la Princesa","left","Calle del Cenicero",92
"1",9,8,4670,1088,991,40.426501,-3.693434,"right","Calle de la Princesa","left","Calle del Cenicero",93
"1",9,8,4670,1088,991,40.4261363,-3.6927044,"right","Calle de la Princesa","left","Calle del Cenicero",94
